billing_date,client_id,client_name,region,contract_type,consumption_kwh,co2_emissions,cost_per_kwh,total_cost,renewable_energy_percentage
2024-03-23,1,"Hood, Cooper and Burke",Centro,Residencial,3423,276.74,0.13,444.99,89
2024-08-05,2,"Hamilton, White and Smith",Este,Comercial,7714,1805.79,0.15,1157.1,37
2024-02-04,3,Keith Group,Sur,Residencial,3745,726.34,0.14,524.3000000000001,69
2024-06-21,4,Jackson-Strong,Oeste,Comercial,8151,130.05,0.18,1467.1799999999998,29
2024-02-16,5,"Coleman, Ayala and Sullivan",Este,Comercial,3137,961.67,0.24,752.88,50
2024-04-27,6,"Robinson, Mclaughlin and Mitchell",Norte,Comercial,8849,1023.01,0.21,1858.29,8
2024-03-01,7,Rios-Johnson,Centro,Residencial,2218,317.11,0.21,465.78,10
2024-05-10,8,"Robinson, Gutierrez and Daniels",Oeste,Residencial,5349,558.01,0.13,695.37,29
2024-05-01,9,Wallace Ltd,Este,Residencial,8663,1595.44,0.15,1299.45,48
2024-07-26,10,"Richardson, Jenkins and Boyd",Centro,Residencial,4058,232.76,0.14,568.12,92
2024-03-17,11,"Smith, Park and Fitzgerald",Norte,Residencial,7186,1026.21,0.22,1580.92,15
2024-01-18,12,Robinson-Marshall,Este,Comercial,3853,722.77,0.15,577.9499999999999,66
2024-08-12,13,Ramirez PLC,Norte,Comercial,986,1608.64,0.17,167.62,96
2024-01-28,14,Richardson-Duncan,Norte,Residencial,4803,354.09,0.23,1104.69,18
2024-10-15,15,Stewart Ltd,Este,Comercial,598,1373.16,0.22,131.56,4
2024-08-03,16,Sparks Group,Centro,Residencial,5829,1474.46,0.2,1165.8,75
2024-06-25,17,"Williams, Fitzpatrick and Wilson",Este,Comercial,1741,839.79,0.19,330.79,30
2024-06-11,18,"Estrada, Brown and Nelson",Norte,Comercial,2994,1409.38,0.16,479.04,79
2024-06-06,19,"Wilson, Daniels and Brewer",Norte,Residencial,5528,1890.49,0.15,829.1999999999999,70
2024-08-23,20,Brown Ltd,Centro,Residencial,5066,86.38,0.2,1013.2,56
2024-01-03,21,Moore LLC,Sur,Comercial,7905,1185.6,0.21,1660.05,18
2024-01-12,22,Robles-Hawkins,Norte,Comercial,2755,70.35,0.14,385.7000000000001,31
2024-08-17,23,Duncan-Barry,Sur,Residencial,6469,156.49,0.14,905.66,44
2024-10-18,24,"Rivera, Johnson and Garcia",Norte,Residencial,5105,136.63,0.17,867.85,69
2024-02-09,25,Richards Group,Este,Residencial,5484,1290.56,0.2,1096.8,67
2024-08-29,26,"Reyes, Baker and Sloan",Este,Comercial,7398,957.36,0.15,1109.7,68
2024-09-12,27,Hall Inc,Oeste,Residencial,892,990.88,0.18,160.56,46
2024-07-07,28,Riley PLC,Norte,Residencial,6402,1159.61,0.22,1408.44,62
2024-06-08,29,Lin-Davila,Oeste,Residencial,4451,71.06,0.19,845.69,49
2024-06-24,30,Lopez-Gonzales,Oeste,Comercial,8722,471.17,0.15,1308.3,18
2024-08-20,31,Wilson-Petty,Este,Residencial,8305,1425.59,0.22,1827.1,34
2024-05-08,32,Johnson-Hahn,Norte,Comercial,7955,110.9,0.15,1193.25,37
2024-06-12,33,Martin PLC,Sur,Residencial,5736,56.39,0.24,1376.64,27
2024-07-04,34,"Beard, King and Odom",Sur,Comercial,9133,1923.93,0.22,2009.26,49
2024-10-04,35,Wright-Velasquez,Norte,Residencial,2478,1704.32,0.12,297.36,95
2024-07-21,36,"Peters, Ortiz and Murray",Este,Residencial,8274,1423.19,0.16,1323.84,67
2024-08-03,37,Andersen-Smith,Sur,Comercial,6038,1311.83,0.13,784.94,19
2024-06-03,38,Dalton-Ross,Norte,Residencial,3083,876.44,0.2,616.6,61
2024-09-05,39,Coleman PLC,Oeste,Comercial,5223,1385.88,0.18,940.14,31
2024-09-27,40,"Mckee, Roberson and Wagner",Norte,Residencial,7704,786.29,0.1,770.4000000000001,48
2024-03-10,41,Dougherty Group,Centro,Comercial,4192,1130.34,0.11,461.12,86
2024-08-13,42,"Sandoval, Hampton and Ward",Norte,Comercial,7827,1505.63,0.14,1095.7800000000002,62
2024-04-09,43,Watkins Ltd,Sur,Comercial,9268,1292.14,0.17,1575.5600000000002,17
2024-01-29,44,Russell-Raymond,Oeste,Comercial,8004,898.65,0.19,1520.76,69
2024-11-07,45,Garcia-Williams,Centro,Residencial,1487,645.2,0.24,356.88,68
2024-08-27,46,Smith-White,Centro,Residencial,5380,997.3,0.22,1183.6,90
